window,discipline,topic,topic_keywords,N,N_rel
1986-1990,Psychology,1,"game, theory, social, cooperation, behavior, decision, strategies, model, individuals, information",5,1
1986-1990,Sociology,0,"game, theory, power, games, violence, micro, exchange, social, network, conflict",1,1
1987-1991,Biology,0,"game, evolutionary, theory, cooperation, population, model, strategies, selection, strategy, evolution",5,1
1987-1991,Computer Science,2,"games, fuzzy, game, cooperative, theory, player, players, based, strategies, set",1,1
1987-1991,Economics,0,"games, game, equilibrium, players, repeated, equilibria, theory, model, player, payoffs",22,0.6875
1987-1991,Economics,1,"firms, firm, market, product, equilibrium, model, competition, game, price, competitive",8,0.25
1987-1991,Economics,2,"countries, international, trade, game, climate, environmental, power, market, global, model",2,0.0625
1987-1991,Engineering and Technology,0,"game, networks, network, users, power, proposed, problem, algorithm, based, allocation",2,0.6666666666666666
1987-1991,Engineering and Technology,2,"games, stochastic, game, agents, nash, equilibrium, players, control, time, dynamics",1,0.3333333333333333
1987-1991,Management and OR,0,"supply, chain, model, retailer, channel, price, manufacturer, game, product, market",6,0.35294117647058826
1987-1991,Management and OR,1,"game, games, equilibrium, mml, players, model, stochastic, nash, problem, equilibria",4,0.23529411764705882
1987-1991,Management and OR,2,"innovation, strategic, game, firms, theory, firm, research, technology, model, alliances",7,0.4117647058823529
1987-1991,Mathematics,0,"games, game, strategies, equilibrium, player, players, mml, theory, strategy, nash",2,1
1987-1991,Other Social Sciences,3,"theory, game, analysis, political, institutions, european, coopetition, economic, institutional, equilibrium",2,1
1987-1991,Political Science,0,"game, political, policy, theory, theoretic, model, party, voting, legislative, preferences",10,0.4
1987-1991,Political Science,1,"game, cooperation, international, theory, model, strategic, strategies, protection, states, social",13,0.52
1987-1991,Political Science,5,"sanctions, sender, economic, target, coercion, senders, secondary, sanction, model, success",1,0.04
1987-1991,Political Science,6,"rationality, peace, war, models, rapoport, value, machines, theory, systems, field",1,0.04
1987-1991,Psychology,1,"game, theory, social, cooperation, behavior, decision, strategies, model, individuals, information",4,1
1987-1991,Sociology,0,"game, theory, power, games, violence, micro, exchange, social, network, conflict",1,0.5
1987-1991,Sociology,1,"norms, dilemma, cooperation, prisoner, different, emerge, actors, game, emergence, subjects",1,0.5
1988-1992,Biology,0,"game, evolutionary, theory, cooperation, population, model, strategies, selection, strategy, evolution",6,1
1988-1992,Computer Science,2,"games, fuzzy, game, cooperative, theory, player, players, based, strategies, set",1,1
1988-1992,Economics,0,"games, game, equilibrium, players, repeated, equilibria, theory, model, player, payoffs",24,0.7741935483870968
1988-1992,Economics,1,"firms, firm, market, product, equilibrium, model, competition, game, price, competitive",5,0.16129032258064516
1988-1992,Economics,2,"countries, international, trade, game, climate, environmental, power, market, global, model",2,0.06451612903225806
1988-1992,Engineering and Technology,0,"game, networks, network, users, power, proposed, problem, algorithm, based, allocation",2,0.6666666666666666
1988-1992,Engineering and Technology,2,"games, stochastic, game, agents, nash, equilibrium, players, control, time, dynamics",1,0.3333333333333333
1988-1992,Geoscience,2,"water, cooperative, river, basin, resources, ecological, game, compensation, allocation, decision",1,1
1988-1992,Management and OR,0,"supply, chain, model, retailer, channel, price, manufacturer, game, product, market",6,0.46153846153846156
1988-1992,Management and OR,1,"game, games, equilibrium, mml, players, model, stochastic, nash, problem, equilibria",5,0.38461538461538464
1988-1992,Management and OR,2,"innovation, strategic, game, firms, theory, firm, research, technology, model, alliances",2,0.15384615384615385
1988-1992,Mathematics,0,"games, game, strategies, equilibrium, player, players, mml, theory, strategy, nash",6,1
1988-1992,Other Social Sciences,3,"theory, game, analysis, political, institutions, european, coopetition, economic, institutional, equilibrium",2,1
1988-1992,Political Science,0,"game, political, policy, theory, theoretic, model, party, voting, legislative, preferences",6,0.3333333333333333
1988-1992,Political Science,1,"game, cooperation, international, theory, model, strategic, strategies, protection, states, social",9,0.5
1988-1992,Political Science,2,"bargaining, crisis, war, international, information, commitment, costs, audience, public, model",1,0.05555555555555555
1988-1992,Political Science,5,"sanctions, sender, economic, target, coercion, senders, secondary, sanction, model, success",1,0.05555555555555555
1988-1992,Political Science,6,"rationality, peace, war, models, rapoport, value, machines, theory, systems, field",1,0.05555555555555555
1988-1992,Psychology,1,"game, theory, social, cooperation, behavior, decision, strategies, model, individuals, information",3,1
1988-1992,Sociology,0,"game, theory, power, games, violence, micro, exchange, social, network, conflict",5,0.7142857142857143
1988-1992,Sociology,1,"norms, dilemma, cooperation, prisoner, different, emerge, actors, game, emergence, subjects",2,0.2857142857142857
1989-1993,Biology,0,"game, evolutionary, theory, cooperation, population, model, strategies, selection, strategy, evolution",4,1
1989-1993,Computer Science,1,"game, government, energy, supply, market, evolutionary, model, strategy, chain, study",1,0.5
1989-1993,Computer Science,2,"games, fuzzy, game, cooperative, theory, player, players, based, strategies, set",1,0.5
1989-1993,Economics,0,"games, game, equilibrium, players, repeated, equilibria, theory, model, player, payoffs",20,0.7407407407407407
1989-1993,Economics,1,"firms, firm, market, product, equilibrium, model, competition, game, price, competitive",5,0.18518518518518517
1989-1993,Economics,2,"countries, international, trade, game, climate, environmental, power, market, global, model",1,0.037037037037037035
1989-1993,Economics,3,"sports, football, league, leagues, transfer, soccer, revenue, duopsony, talent, game",1,0.037037037037037035
1989-1993,Engineering and Technology,0,"game, networks, network, users, power, proposed, problem, algorithm, based, allocation",1,0.3333333333333333
1989-1993,Engineering and Technology,2,"games, stochastic, game, agents, nash, equilibrium, players, control, time, dynamics",2,0.6666666666666666
1989-1993,Geoscience,2,"water, cooperative, river, basin, resources, ecological, game, compensation, allocation, decision",1,1
1989-1993,Management and OR,0,"supply, chain, model, retailer, channel, price, manufacturer, game, product, market",7,0.4117647058823529
1989-1993,Management and OR,1,"game, games, equilibrium, mml, players, model, stochastic, nash, problem, equilibria",4,0.23529411764705882
1989-1993,Management and OR,2,"innovation, strategic, game, firms, theory, firm, research, technology, model, alliances",5,0.29411764705882354
1989-1993,Management and OR,5,"traffic, bus, congestion, lane, game, passengers, vehicles, route, transportation, driver",1,0.058823529411764705
1989-1993,Mathematics,0,"games, game, strategies, equilibrium, player, players, mml, theory, strategy, nash",6,1
1989-1993,Other Social Sciences,2,"gt, lt, li, game, social, learning, theory, behavior, evolutionary, evolution",1,0.3333333333333333
1989-1993,Other Social Sciences,3,"theory, game, analysis, political, institutions, european, coopetition, economic, institutional, equilibrium",2,0.6666666666666666
1989-1993,Political Science,0,"game, political, policy, theory, theoretic, model, party, voting, legislative, preferences",9,0.5
1989-1993,Political Science,1,"game, cooperation, international, theory, model, strategic, strategies, protection, states, social",7,0.3888888888888889
1989-1993,Political Science,2,"bargaining, crisis, war, international, information, commitment, costs, audience, public, model",1,0.05555555555555555
1989-1993,Political Science,5,"sanctions, sender, economic, target, coercion, senders, secondary, sanction, model, success",1,0.05555555555555555
1989-1993,Psychology,1,"game, theory, social, cooperation, behavior, decision, strategies, model, individuals, information",2,1
1989-1993,Sociology,0,"game, theory, power, games, violence, micro, exchange, social, network, conflict",7,0.7777777777777778
1989-1993,Sociology,1,"norms, dilemma, cooperation, prisoner, different, emerge, actors, game, emergence, subjects",2,0.2222222222222222
1990-1994,Biology,0,"game, evolutionary, theory, cooperation, population, model, strategies, selection, strategy, evolution",4,0.8
1990-1994,Biology,4,"plant, plants, height, water, growth, root, leaf, hydraulic, soil, trees",1,0.2
1990-1994,Computer Science,1,"game, government, energy, supply, market, evolutionary, model, strategy, chain, study",1,0.3333333333333333
1990-1994,Computer Science,2,"games, fuzzy, game, cooperative, theory, player, players, based, strategies, set",2,0.6666666666666666
1990-1994,Economics,0,"games, game, equilibrium, players, repeated, equilibria, theory, model, player, payoffs",21,0.65625
1990-1994,Economics,1,"firms, firm, market, product, equilibrium, model, competition, game, price, competitive",5,0.15625
1990-1994,Economics,2,"countries, international, trade, game, climate, environmental, power, market, global, model",3,0.09375
1990-1994,Economics,3,"sports, football, league, leagues, transfer, soccer, revenue, duopsony, talent, game",1,0.03125
1990-1994,Economics,4,"moral, norms, morality, trust, guilt, social, economic, theory, markets, ethics",2,0.0625
1990-1994,Engineering and Technology,0,"game, networks, network, users, power, proposed, problem, algorithm, based, allocation",1,0.5
1990-1994,Engineering and Technology,2,"games, stochastic, game, agents, nash, equilibrium, players, control, time, dynamics",1,0.5
1990-1994,Geoscience,2,"water, cooperative, river, basin, resources, ecological, game, compensation, allocation, decision",1,1
1990-1994,Management and OR,0,"supply, chain, model, retailer, channel, price, manufacturer, game, product, market",7,0.4666666666666667
1990-1994,Management and OR,1,"game, games, equilibrium, mml, players, model, stochastic, nash, problem, equilibria",2,0.13333333333333333
1990-1994,Management and OR,2,"innovation, strategic, game, firms, theory, firm, research, technology, model, alliances",5,0.3333333333333333
1990-1994,Management and OR,5,"traffic, bus, congestion, lane, game, passengers, vehicles, route, transportation, driver",1,0.06666666666666667
1990-1994,Mathematics,0,"games, game, strategies, equilibrium, player, players, mml, theory, strategy, nash",7,1
1990-1994,Other Professional Fields,2,"game, play, video, group, groups, theory, students, research, experiment, games",1,1
1990-1994,Other Social Sciences,2,"gt, lt, li, game, social, learning, theory, behavior, evolutionary, evolution",2,0.4
1990-1994,Other Social Sciences,4,"environmental, public, carbon, game, evolutionary, enterprises, government, charging, regulation, pollution",1,0.2
1990-1994,Other Social Sciences,5,"location, pricing, firms, market, delivered, production, firm, areas, shown, paper",2,0.4
1990-1994,Political Science,0,"game, political, policy, theory, theoretic, model, party, voting, legislative, preferences",10,0.5
1990-1994,Political Science,1,"game, cooperation, international, theory, model, strategic, strategies, protection, states, social",8,0.4
1990-1994,Political Science,2,"bargaining, crisis, war, international, information, commitment, costs, audience, public, model",1,0.05
1990-1994,Political Science,5,"sanctions, sender, economic, target, coercion, senders, secondary, sanction, model, success",1,0.05
1990-1994,Psychology,1,"game, theory, social, cooperation, behavior, decision, strategies, model, individuals, information",2,1
1990-1994,Sociology,0,"game, theory, power, games, violence, micro, exchange, social, network, conflict",8,0.8888888888888888
1990-1994,Sociology,1,"norms, dilemma, cooperation, prisoner, different, emerge, actors, game, emergence, subjects",1,0.1111111111111111
1991-1995,Biology,0,"game, evolutionary, theory, cooperation, population, model, strategies, selection, strategy, evolution",9,0.9
1991-1995,Biology,4,"plant, plants, height, water, growth, root, leaf, hydraulic, soil, trees",1,0.1
1991-1995,Computer Science,1,"game, government, energy, supply, market, evolutionary, model, strategy, chain, study",1,0.5
1991-1995,Computer Science,2,"games, fuzzy, game, cooperative, theory, player, players, based, strategies, set",1,0.5
1991-1995,Economics,0,"games, game, equilibrium, players, repeated, equilibria, theory, model, player, payoffs",22,0.6111111111111112
1991-1995,Economics,1,"firms, firm, market, product, equilibrium, model, competition, game, price, competitive",7,0.19444444444444445
1991-1995,Economics,2,"countries, international, trade, game, climate, environmental, power, market, global, model",3,0.08333333333333333
1991-1995,Economics,3,"sports, football, league, leagues, transfer, soccer, revenue, duopsony, talent, game",2,0.05555555555555555
1991-1995,Economics,4,"moral, norms, morality, trust, guilt, social, economic, theory, markets, ethics",2,0.05555555555555555
1991-1995,Engineering and Technology,0,"game, networks, network, users, power, proposed, problem, algorithm, based, allocation",1,0.2
1991-1995,Engineering and Technology,2,"games, stochastic, game, agents, nash, equilibrium, players, control, time, dynamics",3,0.6
1991-1995,Engineering and Technology,5,"supply, chain, manufacturer, product, supplier, retailer, advertising, retailers, model, products",1,0.2
1991-1995,Geoscience,2,"water, cooperative, river, basin, resources, ecological, game, compensation, allocation, decision",2,1
1991-1995,Management and OR,0,"supply, chain, model, retailer, channel, price, manufacturer, game, product, market",8,0.5
1991-1995,Management and OR,1,"game, games, equilibrium, mml, players, model, stochastic, nash, problem, equilibria",2,0.125
1991-1995,Management and OR,2,"innovation, strategic, game, firms, theory, firm, research, technology, model, alliances",4,0.25
1991-1995,Management and OR,3,"projects, game, project, government, evolutionary, public, construction, ppp, design, supervision",1,0.0625
1991-1995,Management and OR,5,"traffic, bus, congestion, lane, game, passengers, vehicles, route, transportation, driver",1,0.0625
1991-1995,Mathematics,0,"games, game, strategies, equilibrium, player, players, mml, theory, strategy, nash",7,0.875
1991-1995,Mathematics,7,"fuzzy, design, method, optimization, game, multiobjective, based, variables, atanassov, function",1,0.125
1991-1995,Other Professional Fields,2,"game, play, video, group, groups, theory, students, research, experiment, games",2,0.5
1991-1995,Other Professional Fields,4,"outsourcing, information, security, theory, strategic, relational, motivations, decision, core, case",2,0.5
1991-1995,Other Social Sciences,2,"gt, lt, li, game, social, learning, theory, behavior, evolutionary, evolution",4,0.6666666666666666
1991-1995,Other Social Sciences,5,"location, pricing, firms, market, delivered, production, firm, areas, shown, paper",2,0.3333333333333333
1991-1995,Political Science,0,"game, political, policy, theory, theoretic, model, party, voting, legislative, preferences",8,0.5714285714285714
1991-1995,Political Science,1,"game, cooperation, international, theory, model, strategic, strategies, protection, states, social",6,0.42857142857142855
1991-1995,Psychology,1,"game, theory, social, cooperation, behavior, decision, strategies, model, individuals, information",5,1
1991-1995,Sociology,0,"game, theory, power, games, violence, micro, exchange, social, network, conflict",9,0.9
1991-1995,Sociology,1,"norms, dilemma, cooperation, prisoner, different, emerge, actors, game, emergence, subjects",1,0.1
1992-1996,Biology,0,"game, evolutionary, theory, cooperation, population, model, strategies, selection, strategy, evolution",9,1
1992-1996,Computer Science,1,"game, government, energy, supply, market, evolutionary, model, strategy, chain, study",1,0.3333333333333333
1992-1996,Computer Science,2,"games, fuzzy, game, cooperative, theory, player, players, based, strategies, set",2,0.6666666666666666
