window,discipline,topic,topic_keywords,N,N_rel
2010-2014,Economics,5,"government, enterprises, evolutionary, green, diffusion, game, sustainable, development, export, industry",3,0.030612244897959183
2010-2014,Economics,6,"inflation, bank, fiscal, central, monetary, targeting, policy, macroprudential, target, account",1,0.01020408163265306
2010-2014,Economics,7,"gm, household, efficiency, households, wives, husbands, allocation, agricultural, crops, income",2,0.02040816326530612
2010-2014,Engineering and Technology,0,"game, networks, network, users, power, proposed, problem, algorithm, based, allocation",174,0.635036496350365
2010-2014,Engineering and Technology,1,"energy, market, power, game, electricity, based, demand, proposed, model, carbon",34,0.12408759124087591
2010-2014,Engineering and Technology,2,"games, stochastic, game, agents, nash, equilibrium, players, control, time, dynamics",33,0.12043795620437957
2010-2014,Engineering and Technology,3,"game, data, attacks, model, defense, security, based, privacy, attack, cyber",16,0.058394160583941604
2010-2014,Engineering and Technology,4,"game, control, vehicle, driver, driving, vehicles, traffic, lane, strategy, based",10,0.0364963503649635
2010-2014,Engineering and Technology,5,"supply, chain, manufacturer, product, supplier, retailer, advertising, retailers, model, products",6,0.021897810218978103
2010-2014,Engineering and Technology,6,"evolutionary, knowledge, design, game, project, model, theory, decision, value, projects",1,0.0036496350364963502
2010-2014,Geoscience,2,"water, cooperative, river, basin, resources, ecological, game, compensation, allocation, decision",3,0.75
2010-2014,Geoscience,3,"game, pollution, parking, traffic, lane, air, climate, model, based, changing",1,0.25
2010-2014,Health,1,"health, game, evolutionary, treatment, service, care, medical, patients, information, elderly",1,1
2010-2014,Humanities,0,"games, accessed, http, www, com, 2008, narrative, play, 2007, april",2,0.4
2010-2014,Humanities,1,"social, capital, individuals, putnam, theory, game, action, al, et, trust",2,0.4
2010-2014,Humanities,2,"game, theoretic, word, pragmatics, optimality, intention, principles, model, meaning, interpretation",1,0.2
2010-2014,Management and OR,0,"supply, chain, model, retailer, channel, price, manufacturer, game, product, market",44,0.5057471264367817
2010-2014,Management and OR,1,"game, games, equilibrium, mml, players, model, stochastic, nash, problem, equilibria",24,0.27586206896551724
2010-2014,Management and OR,2,"innovation, strategic, game, firms, theory, firm, research, technology, model, alliances",9,0.10344827586206896
2010-2014,Management and OR,3,"projects, game, project, government, evolutionary, public, construction, ppp, design, supervision",4,0.04597701149425287
2010-2014,Management and OR,4,"carbon, energy, emission, government, emissions, low, game, green, evolutionary, environmental",3,0.034482758620689655
2010-2014,Management and OR,5,"traffic, bus, congestion, lane, game, passengers, vehicles, route, transportation, driver",1,0.011494252873563218
2010-2014,Management and OR,6,"team, decision, group, mediation, framing, members, consensus, committee, game, solution",2,0.022988505747126436
2010-2014,Mathematics,0,"games, game, strategies, equilibrium, player, players, mml, theory, strategy, nash",70,0.7142857142857143
2010-2014,Mathematics,1,"evolutionary, government, enterprises, game, innovation, model, mechanism, public, strategy, construction",8,0.08163265306122448
2010-2014,Mathematics,2,"supply, chain, manufacturer, retailer, green, price, pricing, product, fairness, decisions",6,0.061224489795918366
2010-2014,Mathematics,3,"reinsurance, risk, investment, optimal, variance, time, asset, consistent, insurance, insurer",2,0.02040816326530612
2010-2014,Mathematics,4,"queueing, queue, customers, traffic, server, research, patients, operations, university, equilibrium",2,0.02040816326530612
2010-2014,Mathematics,5,"stability, bifurcation, delays, dynamics, delay, game, nash, equilibrium, imitative, hopf",3,0.030612244897959183
2010-2014,Mathematics,7,"fuzzy, design, method, optimization, game, multiobjective, based, variables, atanassov, function",4,0.04081632653061224
2010-2014,Mathematics,8,"energy, computing, node, wireless, mobile, power, algorithm, offloading, nodes, networks",3,0.030612244897959183
2010-2014,Medicine,1,"vaccination, control, disease, population, attack, coverage, security, vaccine, optimal, systems",3,0.23076923076923078
2010-2014,Medicine,2,"games, game, social, choice, learning, human, cooperation, cooperative, participants, behavior",8,0.6153846153846154
2010-2014,Medicine,3,"game, theory, patient, knowledge, cooperation, strategy, care, medical, decision, management",2,0.15384615384615385
2010-2014,Other Professional Fields,2,"game, play, video, group, groups, theory, students, research, experiment, games",2,0.2
2010-2014,Other Professional Fields,3,"traffic, approach, game, making, problem, education, decision, toll, government, assignment",1,0.1
2010-2014,Other Professional Fields,4,"outsourcing, information, security, theory, strategic, relational, motivations, decision, core, case",2,0.2
2010-2014,Other Professional Fields,5,"model, product, market, content, firms, free, blockchain, behavior, service, products",5,0.5
2010-2014,Other Social Sciences,1,"defender, security, attacker, risk, cyber, game, allocation, defense, attacks, model",3,0.15789473684210525
2010-2014,Other Social Sciences,2,"gt, lt, li, game, social, learning, theory, behavior, evolutionary, evolution",10,0.5263157894736842
2010-2014,Other Social Sciences,3,"theory, game, analysis, political, institutions, european, coopetition, economic, institutional, equilibrium",5,0.2631578947368421
2010-2014,Other Social Sciences,4,"environmental, public, carbon, game, evolutionary, enterprises, government, charging, regulation, pollution",1,0.05263157894736842
2010-2014,Physics,0,"cooperation, evolutionary, game, strategy, games, dynamics, evolution, model, individuals, strategies",38,0.5
2010-2014,Physics,1,"game, energy, network, power, nodes, sensor, wireless, networks, algorithm, proposed",15,0.19736842105263158
2010-2014,Physics,2,"quantum, game, games, theory, strategies, players, information, classical, player, learning",12,0.15789473684210525
2010-2014,Physics,3,"pedestrians, evacuation, traffic, pedestrian, flow, lane, model, game, room, agents",7,0.09210526315789473
2010-2014,Physics,5,"radar, allocation, target, imaging, task, power, game, problem, time, isar",1,0.013157894736842105
2010-2014,Physics,6,"mean, field, equations, discrete, algorithm, problem, differential, kolmogorov, parabolic, decentralised",1,0.013157894736842105
2010-2014,Physics,7,"energy, grid, smart, demand, users, vpp, networked, control, intermittent, optimization",1,0.013157894736842105
2010-2014,Physics,8,"seti, search, extraterrestrial, mutual, frequencies, meti, messaging, planck, active, intelligence",1,0.013157894736842105
2010-2014,Political Science,0,"game, political, policy, theory, theoretic, model, party, voting, legislative, preferences",19,0.31666666666666665
2010-2014,Political Science,1,"game, cooperation, international, theory, model, strategic, strategies, protection, states, social",17,0.2833333333333333
2010-2014,Political Science,2,"bargaining, crisis, war, international, information, commitment, costs, audience, public, model",5,0.08333333333333333
2010-2014,Political Science,3,"terrorism, terrorist, note, 2010, al, security, attacks, 2009, intelligence, december",10,0.16666666666666666
2010-2014,Political Science,4,"pp, conflict, nepal, violence, state, rebel, government, rebels, political, groups",3,0.05
2010-2014,Political Science,5,"sanctions, sender, economic, target, coercion, senders, secondary, sanction, model, success",3,0.05
2010-2014,Political Science,6,"rationality, peace, war, models, rapoport, value, machines, theory, systems, field",1,0.016666666666666666
2010-2014,Political Science,7,"repression, kin, media, rights, human, government, sexual, minority, protest, external",1,0.016666666666666666
2010-2014,Political Science,8,"power, shapley, indices, point, index, owen, sovs, strong, spatial, based",1,0.016666666666666666
2010-2014,Psychology,0,"evolutionary, government, game, theory, safety, governments, local, equilibrium, public, pattern",1,0.04
2010-2014,Psychology,1,"game, theory, social, cooperation, behavior, decision, strategies, model, individuals, information",24,0.96
2010-2014,Sociology,0,"game, theory, power, games, violence, micro, exchange, social, network, conflict",2,0.3333333333333333
2010-2014,Sociology,1,"norms, dilemma, cooperation, prisoner, different, emerge, actors, game, emergence, subjects",1,0.16666666666666666
2010-2014,Sociology,2,"commitment, game, strategy, social, actors, model, average, information, performance, interactions",3,0.5
2011-2015,Biology,0,"game, evolutionary, theory, cooperation, population, model, strategies, selection, strategy, evolution",74,0.6271186440677966
2011-2015,Biology,1,"government, carbon, enterprises, evolutionary, game, development, strategy, low, marine, supervision",1,0.00847457627118644
2011-2015,Biology,2,"vaccination, disease, game, host, model, epidemic, evolutionary, dynamics, vaccine, control",9,0.07627118644067797
2011-2015,Biology,3,"management, game, based, model, nash, theory, fisheries, cooperative, energy, fishers",12,0.1016949152542373
2011-2015,Biology,4,"plant, plants, height, water, growth, root, leaf, hydraulic, soil, trees",8,0.06779661016949153
2011-2015,Biology,5,"cancer, cells, tumour, game, evolutionary, cell, growth, treatment, therapies, dynamics",11,0.09322033898305085
2011-2015,Biology,6,"supply, chain, product, channel, retailer, information, sharing, quality, pricing, retailers",1,0.00847457627118644
2011-2015,Biology,8,"quantum, classical, player, rational, game, setting, epr, secret, games, factorizable",2,0.01694915254237288
2011-2015,Computer Science,0,"game, edge, cloud, users, computing, problem, mobile, proposed, equilibrium, nash",39,0.3611111111111111
2011-2015,Computer Science,1,"game, government, energy, supply, market, evolutionary, model, strategy, chain, study",6,0.05555555555555555
2011-2015,Computer Science,2,"games, fuzzy, game, cooperative, theory, player, players, based, strategies, set",37,0.3425925925925926
2011-2015,Computer Science,3,"attack, defense, game, security, model, attacks, network, strategy, based, blockchain",17,0.1574074074074074
2011-2015,Computer Science,4,"learning, game, reinforcement, control, based, games, marl, algorithm, equilibrium, multiagent",7,0.06481481481481481
2011-2015,Computer Science,5,"optimization, uav, swarm, particle, algorithm, task, uavs, proposed, energy, game",1,0.009259259259259259
2011-2015,Computer Science,8,"scheduler, matching, data, mapreduce, tardiness, virtual, flows, aware, vls, resource",1,0.009259259259259259
2011-2015,Economics,0,"games, game, equilibrium, players, repeated, equilibria, theory, model, player, payoffs",65,0.6132075471698113
2011-2015,Economics,1,"firms, firm, market, product, equilibrium, model, competition, game, price, competitive",21,0.19811320754716982
2011-2015,Economics,2,"countries, international, trade, game, climate, environmental, power, market, global, model",9,0.08490566037735849
2011-2015,Economics,3,"sports, football, league, leagues, transfer, soccer, revenue, duopsony, talent, game",6,0.05660377358490566
2011-2015,Economics,5,"government, enterprises, evolutionary, green, diffusion, game, sustainable, development, export, industry",2,0.018867924528301886
2011-2015,Economics,6,"inflation, bank, fiscal, central, monetary, targeting, policy, macroprudential, target, account",2,0.018867924528301886
2011-2015,Economics,7,"gm, household, efficiency, households, wives, husbands, allocation, agricultural, crops, income",1,0.009433962264150943
2011-2015,Engineering and Technology,0,"game, networks, network, users, power, proposed, problem, algorithm, based, allocation",204,0.6335403726708074
2011-2015,Engineering and Technology,1,"energy, market, power, game, electricity, based, demand, proposed, model, carbon",40,0.12422360248447205
2011-2015,Engineering and Technology,2,"games, stochastic, game, agents, nash, equilibrium, players, control, time, dynamics",39,0.12111801242236025
2011-2015,Engineering and Technology,3,"game, data, attacks, model, defense, security, based, privacy, attack, cyber",19,0.059006211180124224
2011-2015,Engineering and Technology,4,"game, control, vehicle, driver, driving, vehicles, traffic, lane, strategy, based",10,0.031055900621118012
2011-2015,Engineering and Technology,5,"supply, chain, manufacturer, product, supplier, retailer, advertising, retailers, model, products",8,0.024844720496894408
2011-2015,Engineering and Technology,6,"evolutionary, knowledge, design, game, project, model, theory, decision, value, projects",2,0.006211180124223602
2011-2015,Geoscience,2,"water, cooperative, river, basin, resources, ecological, game, compensation, allocation, decision",4,0.8
2011-2015,Geoscience,3,"game, pollution, parking, traffic, lane, air, climate, model, based, changing",1,0.2
2011-2015,Health,1,"health, game, evolutionary, treatment, service, care, medical, patients, information, elderly",1,1
2011-2015,Humanities,1,"social, capital, individuals, putnam, theory, game, action, al, et, trust",3,0.75
2011-2015,Humanities,2,"game, theoretic, word, pragmatics, optimality, intention, principles, model, meaning, interpretation",1,0.25
2011-2015,Management and OR,0,"supply, chain, model, retailer, channel, price, manufacturer, game, product, market",44,0.5176470588235295
2011-2015,Management and OR,1,"game, games, equilibrium, mml, players, model, stochastic, nash, problem, equilibria",23,0.27058823529411763
2011-2015,Management and OR,2,"innovation, strategic, game, firms, theory, firm, research, technology, model, alliances",10,0.11764705882352941
2011-2015,Management and OR,3,"projects, game, project, government, evolutionary, public, construction, ppp, design, supervision",2,0.023529411764705882
2011-2015,Management and OR,4,"carbon, energy, emission, government, emissions, low, game, green, evolutionary, environmental",2,0.023529411764705882
2011-2015,Management and OR,5,"traffic, bus, congestion, lane, game, passengers, vehicles, route, transportation, driver",1,0.011764705882352941
2011-2015,Management and OR,6,"team, decision, group, mediation, framing, members, consensus, committee, game, solution",2,0.023529411764705882
2011-2015,Management and OR,8,"social, hq, csr, mnes, subsidiary, greenwashing, global, responsible, subsidiaries, srs",1,0.011764705882352941
2011-2015,Mathematics,0,"games, game, strategies, equilibrium, player, players, mml, theory, strategy, nash",72,0.72
2011-2015,Mathematics,1,"evolutionary, government, enterprises, game, innovation, model, mechanism, public, strategy, construction",8,0.08
2011-2015,Mathematics,2,"supply, chain, manufacturer, retailer, green, price, pricing, product, fairness, decisions",6,0.06
2011-2015,Mathematics,3,"reinsurance, risk, investment, optimal, variance, time, asset, consistent, insurance, insurer",2,0.02
2011-2015,Mathematics,4,"queueing, queue, customers, traffic, server, research, patients, operations, university, equilibrium",2,0.02
2011-2015,Mathematics,5,"stability, bifurcation, delays, dynamics, delay, game, nash, equilibrium, imitative, hopf",3,0.03
2011-2015,Mathematics,7,"fuzzy, design, method, optimization, game, multiobjective, based, variables, atanassov, function",3,0.03
2011-2015,Mathematics,8,"energy, computing, node, wireless, mobile, power, algorithm, offloading, nodes, networks",4,0.04
2011-2015,Medicine,1,"vaccination, control, disease, population, attack, coverage, security, vaccine, optimal, systems",2,0.13333333333333333
2011-2015,Medicine,2,"games, game, social, choice, learning, human, cooperation, cooperative, participants, behavior",11,0.7333333333333333
2011-2015,Medicine,3,"game, theory, patient, knowledge, cooperation, strategy, care, medical, decision, management",2,0.13333333333333333
2011-2015,Other Professional Fields,0,"shipping, game, container, capacity, ports, strategy, expansion, port, speed, sharing",2,0.2
2011-2015,Other Professional Fields,2,"game, play, video, group, groups, theory, students, research, experiment, games",2,0.2
2011-2015,Other Professional Fields,3,"traffic, approach, game, making, problem, education, decision, toll, government, assignment",1,0.1
2011-2015,Other Professional Fields,4,"outsourcing, information, security, theory, strategic, relational, motivations, decision, core, case",2,0.2
2011-2015,Other Professional Fields,5,"model, product, market, content, firms, free, blockchain, behavior, service, products",3,0.3
2011-2015,Other Social Sciences,1,"defender, security, attacker, risk, cyber, game, allocation, defense, attacks, model",3,0.15789473684210525
2011-2015,Other Social Sciences,2,"gt, lt, li, game, social, learning, theory, behavior, evolutionary, evolution",10,0.5263157894736842
2011-2015,Other Social Sciences,3,"theory, game, analysis, political, institutions, european, coopetition, economic, institutional, equilibrium",5,0.2631578947368421
2011-2015,Other Social Sciences,4,"environmental, public, carbon, game, evolutionary, enterprises, government, charging, regulation, pollution",1,0.05263157894736842
2011-2015,Physics,0,"cooperation, evolutionary, game, strategy, games, dynamics, evolution, model, individuals, strategies",35,0.47297297297297297
2011-2015,Physics,1,"game, energy, network, power, nodes, sensor, wireless, networks, algorithm, proposed",15,0.20270270270270271
2011-2015,Physics,2,"quantum, game, games, theory, strategies, players, information, classical, player, learning",12,0.16216216216216217
2011-2015,Physics,3,"pedestrians, evacuation, traffic, pedestrian, flow, lane, model, game, room, agents",7,0.0945945945945946
2011-2015,Physics,5,"radar, allocation, target, imaging, task, power, game, problem, time, isar",2,0.02702702702702703
2011-2015,Physics,6,"mean, field, equations, discrete, algorithm, problem, differential, kolmogorov, parabolic, decentralised",1,0.013513513513513514
2011-2015,Physics,7,"energy, grid, smart, demand, users, vpp, networked, control, intermittent, optimization",1,0.013513513513513514
2011-2015,Physics,8,"seti, search, extraterrestrial, mutual, frequencies, meti, messaging, planck, active, intelligence",1,0.013513513513513514
2011-2015,Political Science,0,"game, political, policy, theory, theoretic, model, party, voting, legislative, preferences",18,0.32727272727272727
2011-2015,Political Science,1,"game, cooperation, international, theory, model, strategic, strategies, protection, states, social",21,0.38181818181818183
2011-2015,Political Science,2,"bargaining, crisis, war, international, information, commitment, costs, audience, public, model",1,0.01818181818181818
2011-2015,Political Science,3,"terrorism, terrorist, note, 2010, al, security, attacks, 2009, intelligence, december",9,0.16363636363636364
2011-2015,Political Science,4,"pp, conflict, nepal, violence, state, rebel, government, rebels, political, groups",3,0.05454545454545454
2011-2015,Political Science,5,"sanctions, sender, economic, target, coercion, senders, secondary, sanction, model, success",1,0.01818181818181818
2011-2015,Political Science,7,"repression, kin, media, rights, human, government, sexual, minority, protest, external",1,0.01818181818181818
2011-2015,Political Science,8,"power, shapley, indices, point, index, owen, sovs, strong, spatial, based",1,0.01818181818181818
2011-2015,Psychology,0,"evolutionary, government, game, theory, safety, governments, local, equilibrium, public, pattern",1,0.043478260869565216
2011-2015,Psychology,1,"game, theory, social, cooperation, behavior, decision, strategies, model, individuals, information",22,0.9565217391304348
2011-2015,Sociology,0,"game, theory, power, games, violence, micro, exchange, social, network, conflict",1,0.2
2011-2015,Sociology,1,"norms, dilemma, cooperation, prisoner, different, emerge, actors, game, emergence, subjects",2,0.4
2011-2015,Sociology,2,"commitment, game, strategy, social, actors, model, average, information, performance, interactions",2,0.4
2012-2016,Biology,0,"game, evolutionary, theory, cooperation, population, model, strategies, selection, strategy, evolution",79,0.6124031007751938
2012-2016,Biology,1,"government, carbon, enterprises, evolutionary, game, development, strategy, low, marine, supervision",2,0.015503875968992248
2012-2016,Biology,2,"vaccination, disease, game, host, model, epidemic, evolutionary, dynamics, vaccine, control",11,0.08527131782945736
2012-2016,Biology,3,"management, game, based, model, nash, theory, fisheries, cooperative, energy, fishers",11,0.08527131782945736
2012-2016,Biology,4,"plant, plants, height, water, growth, root, leaf, hydraulic, soil, trees",10,0.07751937984496124
2012-2016,Biology,5,"cancer, cells, tumour, game, evolutionary, cell, growth, treatment, therapies, dynamics",11,0.08527131782945736
2012-2016,Biology,6,"supply, chain, product, channel, retailer, information, sharing, quality, pricing, retailers",2,0.015503875968992248
2012-2016,Biology,8,"quantum, classical, player, rational, game, setting, epr, secret, games, factorizable",3,0.023255813953488372
2012-2016,Computer Science,0,"game, edge, cloud, users, computing, problem, mobile, proposed, equilibrium, nash",49,0.3858267716535433
2012-2016,Computer Science,1,"game, government, energy, supply, market, evolutionary, model, strategy, chain, study",8,0.06299212598425197
2012-2016,Computer Science,2,"games, fuzzy, game, cooperative, theory, player, players, based, strategies, set",37,0.29133858267716534
2012-2016,Computer Science,3,"attack, defense, game, security, model, attacks, network, strategy, based, blockchain",19,0.14960629921259844
2012-2016,Computer Science,4,"learning, game, reinforcement, control, based, games, marl, algorithm, equilibrium, multiagent",12,0.09448818897637795
2012-2016,Computer Science,5,"optimization, uav, swarm, particle, algorithm, task, uavs, proposed, energy, game",1,0.007874015748031496
2012-2016,Computer Science,8,"scheduler, matching, data, mapreduce, tardiness, virtual, flows, aware, vls, resource",1,0.007874015748031496
2012-2016,Economics,0,"games, game, equilibrium, players, repeated, equilibria, theory, model, player, payoffs",65,0.6310679611650486
2012-2016,Economics,1,"firms, firm, market, product, equilibrium, model, competition, game, price, competitive",19,0.18446601941747573
2012-2016,Economics,2,"countries, international, trade, game, climate, environmental, power, market, global, model",7,0.06796116504854369
2012-2016,Economics,3,"sports, football, league, leagues, transfer, soccer, revenue, duopsony, talent, game",6,0.05825242718446602
2012-2016,Economics,5,"government, enterprises, evolutionary, green, diffusion, game, sustainable, development, export, industry",2,0.019417475728155338
2012-2016,Economics,6,"inflation, bank, fiscal, central, monetary, targeting, policy, macroprudential, target, account",1,0.009708737864077669
2012-2016,Economics,7,"gm, household, efficiency, households, wives, husbands, allocation, agricultural, crops, income",3,0.02912621359223301
2012-2016,Engineering and Technology,0,"game, networks, network, users, power, proposed, problem, algorithm, based, allocation",217,0.5771276595744681
2012-2016,Engineering and Technology,1,"energy, market, power, game, electricity, based, demand, proposed, model, carbon",51,0.1356382978723404
2012-2016,Engineering and Technology,2,"games, stochastic, game, agents, nash, equilibrium, players, control, time, dynamics",50,0.13297872340425532
2012-2016,Engineering and Technology,3,"game, data, attacks, model, defense, security, based, privacy, attack, cyber",23,0.061170212765957445
2012-2016,Engineering and Technology,4,"game, control, vehicle, driver, driving, vehicles, traffic, lane, strategy, based",11,0.02925531914893617
2012-2016,Engineering and Technology,5,"supply, chain, manufacturer, product, supplier, retailer, advertising, retailers, model, products",13,0.034574468085106384
2012-2016,Engineering and Technology,6,"evolutionary, knowledge, design, game, project, model, theory, decision, value, projects",9,0.023936170212765957
2012-2016,Engineering and Technology,7,"cdm, airlines, air, airport, merging, cargo, landing, code, model, carriers",1,0.0026595744680851063
2012-2016,Engineering and Technology,8,"scheduling, manufacturing, cmfg, shop, job, machine, service, logistic, ne, game",1,0.0026595744680851063
2012-2016,Geoscience,2,"water, cooperative, river, basin, resources, ecological, game, compensation, allocation, decision",7,0.7777777777777778
2012-2016,Geoscience,3,"game, pollution, parking, traffic, lane, air, climate, model, based, changing",1,0.1111111111111111
2012-2016,Geoscience,6,"farmers, fallow, land, game, lost, foresight, process, institutional, local, peasants",1,0.1111111111111111
2012-2016,Humanities,1,"social, capital, individuals, putnam, theory, game, action, al, et, trust",3,0.6
2012-2016,Humanities,2,"game, theoretic, word, pragmatics, optimality, intention, principles, model, meaning, interpretation",2,0.4
2012-2016,Management and OR,0,"supply, chain, model, retailer, channel, price, manufacturer, game, product, market",44,0.4943820224719101
2012-2016,Management and OR,1,"game, games, equilibrium, mml, players, model, stochastic, nash, problem, equilibria",28,0.3146067415730337
2012-2016,Management and OR,2,"innovation, strategic, game, firms, theory, firm, research, technology, model, alliances",9,0.10112359550561797
2012-2016,Management and OR,3,"projects, game, project, government, evolutionary, public, construction, ppp, design, supervision",3,0.033707865168539325
2012-2016,Management and OR,4,"carbon, energy, emission, government, emissions, low, game, green, evolutionary, environmental",2,0.02247191011235955
2012-2016,Management and OR,5,"traffic, bus, congestion, lane, game, passengers, vehicles, route, transportation, driver",1,0.011235955056179775
2012-2016,Management and OR,6,"team, decision, group, mediation, framing, members, consensus, committee, game, solution",1,0.011235955056179775
2012-2016,Management and OR,8,"social, hq, csr, mnes, subsidiary, greenwashing, global, responsible, subsidiaries, srs",1,0.011235955056179775
2012-2016,Mathematics,0,"games, game, strategies, equilibrium, player, players, mml, theory, strategy, nash",76,0.6785714285714286
2012-2016,Mathematics,1,"evolutionary, government, enterprises, game, innovation, model, mechanism, public, strategy, construction",10,0.08928571428571429
2012-2016,Mathematics,2,"supply, chain, manufacturer, retailer, green, price, pricing, product, fairness, decisions",8,0.07142857142857142
2012-2016,Mathematics,3,"reinsurance, risk, investment, optimal, variance, time, asset, consistent, insurance, insurer",4,0.03571428571428571
2012-2016,Mathematics,4,"queueing, queue, customers, traffic, server, research, patients, operations, university, equilibrium",3,0.026785714285714284
2012-2016,Mathematics,5,"stability, bifurcation, delays, dynamics, delay, game, nash, equilibrium, imitative, hopf",3,0.026785714285714284
2012-2016,Mathematics,7,"fuzzy, design, method, optimization, game, multiobjective, based, variables, atanassov, function",4,0.03571428571428571
2012-2016,Mathematics,8,"energy, computing, node, wireless, mobile, power, algorithm, offloading, nodes, networks",4,0.03571428571428571
2012-2016,Medicine,1,"vaccination, control, disease, population, attack, coverage, security, vaccine, optimal, systems",1,0.0625
2012-2016,Medicine,2,"games, game, social, choice, learning, human, cooperation, cooperative, participants, behavior",11,0.6875
2012-2016,Medicine,3,"game, theory, patient, knowledge, cooperation, strategy, care, medical, decision, management",4,0.25
2012-2016,Other Professional Fields,0,"shipping, game, container, capacity, ports, strategy, expansion, port, speed, sharing",4,0.3333333333333333
2012-2016,Other Professional Fields,2,"game, play, video, group, groups, theory, students, research, experiment, games",2,0.16666666666666666
2012-2016,Other Professional Fields,3,"traffic, approach, game, making, problem, education, decision, toll, government, assignment",1,0.08333333333333333
2012-2016,Other Professional Fields,4,"outsourcing, information, security, theory, strategic, relational, motivations, decision, core, case",2,0.16666666666666666
2012-2016,Other Professional Fields,5,"model, product, market, content, firms, free, blockchain, behavior, service, products",3,0.25
2012-2016,Other Social Sciences,1,"defender, security, attacker, risk, cyber, game, allocation, defense, attacks, model",2,0.1111111111111111
2012-2016,Other Social Sciences,2,"gt, lt, li, game, social, learning, theory, behavior, evolutionary, evolution",10,0.5555555555555556
2012-2016,Other Social Sciences,3,"theory, game, analysis, political, institutions, european, coopetition, economic, institutional, equilibrium",5,0.2777777777777778
2012-2016,Other Social Sciences,6,"manufacturing, cloud, multiple, platforms, platform, competition, equilibrium, suppliers, participants, game",1,0.05555555555555555
2012-2016,Physics,0,"cooperation, evolutionary, game, strategy, games, dynamics, evolution, model, individuals, strategies",38,0.5066666666666667
2012-2016,Physics,1,"game, energy, network, power, nodes, sensor, wireless, networks, algorithm, proposed",15,0.2
2012-2016,Physics,2,"quantum, game, games, theory, strategies, players, information, classical, player, learning",11,0.14666666666666667
2012-2016,Physics,3,"pedestrians, evacuation, traffic, pedestrian, flow, lane, model, game, room, agents",6,0.08
2012-2016,Physics,4,"chain, supply, channel, manufacturer, retailer, product, agricultural, model, profit, agency",1,0.013333333333333334
2012-2016,Physics,5,"radar, allocation, target, imaging, task, power, game, problem, time, isar",1,0.013333333333333334
2012-2016,Physics,6,"mean, field, equations, discrete, algorithm, problem, differential, kolmogorov, parabolic, decentralised",1,0.013333333333333334
2012-2016,Physics,7,"energy, grid, smart, demand, users, vpp, networked, control, intermittent, optimization",1,0.013333333333333334
2012-2016,Physics,8,"seti, search, extraterrestrial, mutual, frequencies, meti, messaging, planck, active, intelligence",1,0.013333333333333334
2012-2016,Political Science,0,"game, political, policy, theory, theoretic, model, party, voting, legislative, preferences",15,0.3191489361702128
2012-2016,Political Science,1,"game, cooperation, international, theory, model, strategic, strategies, protection, states, social",22,0.46808510638297873
2012-2016,Political Science,2,"bargaining, crisis, war, international, information, commitment, costs, audience, public, model",1,0.02127659574468085
2012-2016,Political Science,3,"terrorism, terrorist, note, 2010, al, security, attacks, 2009, intelligence, december",3,0.06382978723404255
2012-2016,Political Science,4,"pp, conflict, nepal, violence, state, rebel, government, rebels, political, groups",3,0.06382978723404255
2012-2016,Political Science,5,"sanctions, sender, economic, target, coercion, senders, secondary, sanction, model, success",2,0.0425531914893617
2012-2016,Political Science,7,"repression, kin, media, rights, human, government, sexual, minority, protest, external",1,0.02127659574468085
2012-2016,Psychology,0,"evolutionary, government, game, theory, safety, governments, local, equilibrium, public, pattern",1,0.047619047619047616
2012-2016,Psychology,1,"game, theory, social, cooperation, behavior, decision, strategies, model, individuals, information",20,0.9523809523809523
2012-2016,Sociology,0,"game, theory, power, games, violence, micro, exchange, social, network, conflict",1,0.2
2012-2016,Sociology,1,"norms, dilemma, cooperation, prisoner, different, emerge, actors, game, emergence, subjects",2,0.4
2012-2016,Sociology,2,"commitment, game, strategy, social, actors, model, average, information, performance, interactions",2,0.4
2013-2017,Biology,0,"game, evolutionary, theory, cooperation, population, model, strategies, selection, strategy, evolution",70,0.5737704918032787
2013-2017,Biology,1,"government, carbon, enterprises, evolutionary, game, development, strategy, low, marine, supervision",2,0.01639344262295082
2013-2017,Biology,2,"vaccination, disease, game, host, model, epidemic, evolutionary, dynamics, vaccine, control",10,0.08196721311475409
2013-2017,Biology,3,"management, game, based, model, nash, theory, fisheries, cooperative, energy, fishers",14,0.11475409836065574
2013-2017,Biology,4,"plant, plants, height, water, growth, root, leaf, hydraulic, soil, trees",9,0.07377049180327869
2013-2017,Biology,5,"cancer, cells, tumour, game, evolutionary, cell, growth, treatment, therapies, dynamics",11,0.09016393442622951
2013-2017,Biology,6,"supply, chain, product, channel, retailer, information, sharing, quality, pricing, retailers",3,0.02459016393442623
2013-2017,Biology,7,"bifurcation, mml, matrix, structured, evolutionary, discrete, models, equations, theorem, dynamics",1,0.00819672131147541
2013-2017,Biology,8,"quantum, classical, player, rational, game, setting, epr, secret, games, factorizable",2,0.01639344262295082
2013-2017,Computer Science,0,"game, edge, cloud, users, computing, problem, mobile, proposed, equilibrium, nash",54,0.38848920863309355
2013-2017,Computer Science,1,"game, government, energy, supply, market, evolutionary, model, strategy, chain, study",12,0.08633093525179857
2013-2017,Computer Science,2,"games, fuzzy, game, cooperative, theory, player, players, based, strategies, set",41,0.2949640287769784
2013-2017,Computer Science,3,"attack, defense, game, security, model, attacks, network, strategy, based, blockchain",20,0.14388489208633093
