window,field_1,topic,topic_keywords,N,N_rel
2010-2014,Mathematics,1,"game, vaccination, model, epidemic, strategy, public, disease, individuals, control, games",7,0.7
2010-2014,Medicine,1,"game, games, equilibrium, distributed, nash, seeking, stability, based, information, time",2,0.2857142857142857
2010-2014,Medicine,2,"game, model, medical, theory, evolutionary, vaccination, treatment, strategies, epidemic, disease",5,0.7142857142857143
2010-2014,Neuroscience,0,"learning, choice, reinforcement, capacity, human, risk, underlying, humans, optimal, environment",2,0.3333333333333333
2010-2014,Neuroscience,1,"game, social, subjects, opponent, strategy, activity, sensitivity, competitive, asp, hierarchy",3,0.5
2010-2014,Neuroscience,2,"muscle, conflict, interactions, neurons, fighting, mating, size, cuttlefish, thresholds, principle",1,0.16666666666666666
2010-2014,Physics and Astronomy,0,"quantum, game, games, classical, theory, player, entanglement, players, nash, strategies",13,0.52
2010-2014,Physics and Astronomy,3,"defense, network, security, game, attack, strategy, scheffran, attacker, learning, model",3,0.12
2010-2014,Physics and Astronomy,4,"public, opinion, evolutionary, internet, government, model, information, leaders, game, media",1,0.04
2010-2014,Physics and Astronomy,5,"seti, search, extraterrestrial, mutual, frequencies, frequency, planck, messaging, meti, intelligence",1,0.04
2010-2014,Physics and Astronomy,6,"social, dynamics, opinion, agents, xlink, xmlns, w3, http, org, www",2,0.08
2010-2014,Physics and Astronomy,8,"community, detection, networks, nodes, problem, communities, clustering, approach, based, real",5,0.2
2010-2014,Psychology,0,"choice, mate, care, mating, male, theory, evolutionary, studies, human, males",3,0.375
2010-2014,Psychology,1,"game, aggression, cooperative, video, play, bpd, games, bd, social, clinical",2,0.25
2010-2014,Psychology,3,"game, learning, learners, poker, playfulness, water, design, classroom, stripped, computer",1,0.125
2010-2014,Psychology,4,"joint, action, interaction, negotiation, model, fusion, partner, coordination, game, human",2,0.25
2010-2014,Social Sciences,0,"game, cooperation, games, evolutionary, strategies, theory, social, strategy, dynamics, evolution",160,0.6896551724137931
2010-2014,Social Sciences,1,"game, knowledge, evolutionary, government, model, sharing, traffic, strategy, based, quality",21,0.09051724137931035
2010-2014,Social Sciences,2,"war, conflict, power, international, bargaining, terrorism, terrorist, model, political, states",32,0.13793103448275862
2010-2014,Social Sciences,3,"party, policy, political, parties, electoral, voters, model, theoretic, legislative, candidates",12,0.05172413793103448
2010-2014,Social Sciences,4,"vaccination, vaccine, health, game, disease, mhealth, physicians, coverage, information, healthcare",2,0.008620689655172414
2010-2014,Social Sciences,6,"households, household, family, women, wives, teachers, preferences, efficiency, husbands, sided",3,0.01293103448275862
2010-2014,Social Sciences,7,"optimal, risk, investment, insurance, reinsurance, asset, problem, company, model, stochastic",2,0.008620689655172414
2011-2015,Agricultural and Biological Sciences,0,"game, model, males, competition, strategies, theory, male, models, lewontin, evolution",20,0.9090909090909091
2011-2015,Agricultural and Biological Sciences,1,"government, game, food, agricultural, farmers, evolutionary, chain, safety, green, traceability",2,0.09090909090909091
2011-2015,Arts and Humanities,0,"game, cultural, theory, resource, data, research, peirce, np, big, subjective",2,1
2011-2015,"Biochemistry, Genetics and Molecular Biology",1,"cancer, cells, treatment, evolutionary, game, cell, tumor, stage, therapy, dynamics",4,0.16666666666666666
2011-2015,"Biochemistry, Genetics and Molecular Biology",2,"host, virulence, pathogen, model, vaccine, disease, transmission, infection, evolution, infected",4,0.16666666666666666
2011-2015,"Biochemistry, Genetics and Molecular Biology",3,"species, game, reversal, microbial, memory, communities, molecular, genes, number, theory",3,0.125
2011-2015,"Biochemistry, Genetics and Molecular Biology",4,"species, migration, population, prey, evolutionary, thermal, ifd, patch, game, predators",3,0.125
2011-2015,"Biochemistry, Genetics and Molecular Biology",6,"game, evolutionary, theory, selection, sex, strategies, fitness, evolution, mml, models",10,0.4166666666666667
2011-2015,"Business, Management and Accounting",0,"supply, manufacturer, channel, retailer, model, chain, game, product, price, advertising",44,0.6875
2011-2015,"Business, Management and Accounting",1,"green, carbon, supply, chain, government, game, low, subsidy, environmental, emission",3,0.046875
2011-2015,"Business, Management and Accounting",2,"ppp, public, private, projects, project, government, game, design, evolutionary, supervision",4,0.0625
2011-2015,"Business, Management and Accounting",3,"innovation, knowledge, game, firms, alliances, alliance, strategic, cooperation, model, research",9,0.140625
2011-2015,"Business, Management and Accounting",4,"customers, server, queue, queueing, equilibrium, service, mml, servers, joining, patients",4,0.0625
2011-2015,Computer Science,0,"game, users, network, proposed, networks, based, algorithm, power, equilibrium, problem",159,0.691304347826087
2011-2015,Computer Science,1,"games, game, learning, agent, mml, agents, equilibrium, theory, players, player",41,0.1782608695652174
2011-2015,Computer Science,2,"security, game, defense, model, attack, attacks, based, information, strategy, privacy",28,0.12173913043478261
2011-2015,Computer Science,7,"tracking, features, expert, object, feature, landmarks, association, segmentation, landmark, tracker",2,0.008695652173913044
2011-2015,Decision Sciences,0,"games, game, equilibrium, players, equilibria, player, nash, stochastic, information, repeated",47,0.4563106796116505
2011-2015,Decision Sciences,1,"network, game, networks, users, spectrum, allocation, equilibrium, resource, service, nash",27,0.2621359223300971
2011-2015,Decision Sciences,2,"price, auctions, market, auction, advertising, model, product, pricing, prices, seller",9,0.08737864077669903
2011-2015,Decision Sciences,3,"game, theory, theoretic, models, cooperative, economic, games, strategy, business, strategic",6,0.05825242718446602
2011-2015,Decision Sciences,4,"fuzzy, decision, dea, cooperative, value, game, linguistic, making, shapley, proposed",9,0.08737864077669903
2011-2015,Decision Sciences,5,"carbon, evolutionary, enterprises, government, game, energy, electricity, market, power, reduction",2,0.019417475728155338
2011-2015,Decision Sciences,6,"innovation, technology, collaborative, diffusion, evolutionary, adoption, government, competitive, game, firms",1,0.009708737864077669
2011-2015,Decision Sciences,7,"construction, projects, contractors, project, model, evolutionary, developers, development, epc, government",1,0.009708737864077669
2011-2015,Decision Sciences,8,"insurance, risk, underwriting, cost, community, institutions, method, sharing, allocation, cooperative",1,0.009708737864077669
2011-2015,"Economics, Econometrics and Finance",0,"market, game, firms, theory, equilibrium, model, price, markets, firm, information",42,0.375
2011-2015,"Economics, Econometrics and Finance",1,"stochastic, games, equilibrium, time, mml, game, equilibria, mean, nash, optimal",24,0.21428571428571427
2011-2015,"Economics, Econometrics and Finance",2,"carbon, government, enterprises, environmental, pollution, game, innovation, evolutionary, emission, local",9,0.08035714285714286
2011-2015,"Economics, Econometrics and Finance",3,"games, cooperative, mml, core, value, fuzzy, coalition, game, shapley, players",12,0.10714285714285714
2011-2015,"Economics, Econometrics and Finance",4,"sanctions, trade, policy, political, international, economic, countries, model, target, game",9,0.08035714285714286
2011-2015,"Economics, Econometrics and Finance",5,"coalition, coalitions, power, court, voting, legislative, chambers, political, model, informational",5,0.044642857142857144
2011-2015,"Economics, Econometrics and Finance",6,"football, sports, team, game, leagues, players, league, clubs, play, soccer",8,0.07142857142857142
2011-2015,"Economics, Econometrics and Finance",7,"options, strategic, real, value, framework, high, capacity, theory, infrastructure, design",2,0.017857142857142856
2011-2015,"Economics, Econometrics and Finance",8,"hospitals, patients, medical, hospital, treatment, care, pharmaceutical, health, patient, profit",1,0.008928571428571428
2011-2015,Energy,0,"gas, model, eu, policy, russia, pg, european, natural, models, decision",1,1
2011-2015,Engineering,0,"game, power, networks, network, allocation, interference, proposed, problem, based, algorithm",102,0.5257731958762887
2011-2015,Engineering,1,"energy, power, game, market, electricity, proposed, demand, based, model, charging",42,0.21649484536082475
2011-2015,Engineering,2,"vehicles, vehicle, game, driver, control, traffic, lane, driving, based, model",8,0.041237113402061855
2011-2015,Engineering,3,"game, control, differential, time, games, guidance, pursuit, target, optimal, nash",13,0.06701030927835051
2011-2015,Engineering,4,"attack, security, attacks, attacker, game, defender, defense, cyber, systems, model",12,0.061855670103092786
2011-2015,Engineering,5,"government, construction, water, green, evolutionary, development, game, carbon, building, enterprises",3,0.015463917525773196
2011-2015,Engineering,6,"port, shipping, manufacturing, game, container, production, ports, model, scheduling, decision",6,0.030927835051546393
2011-2015,Engineering,7,"emergency, evacuation, pedestrians, game, government, model, evolutionary, crowd, exit, pedestrian",8,0.041237113402061855
2011-2015,Environmental Science,0,"height, water, leaf, plant, hydraulic, trees, growth, al, plants, tree",5,0.5
2011-2015,Environmental Science,1,"government, game, evolutionary, energy, carbon, model, enterprises, strategies, development, study",1,0.1
2011-2015,Environmental Science,2,"fisheries, management, stocks, stock, fishing, fish, fishery, sex, economic, msy",2,0.2
2011-2015,Environmental Science,3,"prey, size, retrieval, spatial, males, patch, beds, seabirds, pairing, females",1,0.1
2011-2015,Environmental Science,4,"conservation, forest, harvesting, organizations, institutional, game, environmental, social, common, theory",1,0.1
2011-2015,Health Professions,0,"medical, patient, game, service, care, elderly, dynamic, hospital, patients, malpractice",1,1
2011-2015,Mathematics,0,"cells, cancer, cell, growth, tumor, tumour, evolutionary, therapies, game, models",5,0.38461538461538464
2011-2015,Mathematics,1,"game, vaccination, model, epidemic, strategy, public, disease, individuals, control, games",8,0.6153846153846154
2011-2015,Medicine,1,"game, games, equilibrium, distributed, nash, seeking, stability, based, information, time",2,0.2857142857142857
2011-2015,Medicine,2,"game, model, medical, theory, evolutionary, vaccination, treatment, strategies, epidemic, disease",5,0.7142857142857143
2011-2015,Neuroscience,0,"learning, choice, reinforcement, capacity, human, risk, underlying, humans, optimal, environment",2,0.2857142857142857
2011-2015,Neuroscience,1,"game, social, subjects, opponent, strategy, activity, sensitivity, competitive, asp, hierarchy",4,0.5714285714285714
2011-2015,Neuroscience,2,"muscle, conflict, interactions, neurons, fighting, mating, size, cuttlefish, thresholds, principle",1,0.14285714285714285
2011-2015,Physics and Astronomy,0,"quantum, game, games, classical, theory, player, entanglement, players, nash, strategies",12,0.48
2011-2015,Physics and Astronomy,1,"energy, renewable, cellular, design, power, groups, discipline, prosumers, optimization, multiple",1,0.04
2011-2015,Physics and Astronomy,3,"defense, network, security, game, attack, strategy, scheffran, attacker, learning, model",3,0.12
2011-2015,Physics and Astronomy,4,"public, opinion, evolutionary, internet, government, model, information, leaders, game, media",1,0.04
2011-2015,Physics and Astronomy,5,"seti, search, extraterrestrial, mutual, frequencies, frequency, planck, messaging, meti, intelligence",1,0.04
2011-2015,Physics and Astronomy,6,"social, dynamics, opinion, agents, xlink, xmlns, w3, http, org, www",2,0.08
2011-2015,Physics and Astronomy,8,"community, detection, networks, nodes, problem, communities, clustering, approach, based, real",5,0.2
2011-2015,Psychology,0,"choice, mate, care, mating, male, theory, evolutionary, studies, human, males",3,0.3
2011-2015,Psychology,1,"game, aggression, cooperative, video, play, bpd, games, bd, social, clinical",4,0.4
2011-2015,Psychology,3,"game, learning, learners, poker, playfulness, water, design, classroom, stripped, computer",1,0.1
2011-2015,Psychology,4,"joint, action, interaction, negotiation, model, fusion, partner, coordination, game, human",2,0.2
2011-2015,Social Sciences,0,"game, cooperation, games, evolutionary, strategies, theory, social, strategy, dynamics, evolution",177,0.731404958677686
2011-2015,Social Sciences,1,"game, knowledge, evolutionary, government, model, sharing, traffic, strategy, based, quality",18,0.0743801652892562
2011-2015,Social Sciences,2,"war, conflict, power, international, bargaining, terrorism, terrorist, model, political, states",30,0.12396694214876033
2011-2015,Social Sciences,3,"party, policy, political, parties, electoral, voters, model, theoretic, legislative, candidates",12,0.049586776859504134
2011-2015,Social Sciences,4,"vaccination, vaccine, health, game, disease, mhealth, physicians, coverage, information, healthcare",1,0.004132231404958678
2011-2015,Social Sciences,5,"rumor, information, diffusion, privacy, social, game, model, propagation, personal, rumors",1,0.004132231404958678
2011-2015,Social Sciences,6,"households, household, family, women, wives, teachers, preferences, efficiency, husbands, sided",2,0.008264462809917356
2011-2015,Social Sciences,7,"optimal, risk, investment, insurance, reinsurance, asset, problem, company, model, stochastic",1,0.004132231404958678
2012-2016,Agricultural and Biological Sciences,0,"game, model, males, competition, strategies, theory, male, models, lewontin, evolution",20,0.9090909090909091
2012-2016,Agricultural and Biological Sciences,1,"government, game, food, agricultural, farmers, evolutionary, chain, safety, green, traceability",2,0.09090909090909091
2012-2016,Arts and Humanities,0,"game, cultural, theory, resource, data, research, peirce, np, big, subjective",2,1
2012-2016,"Biochemistry, Genetics and Molecular Biology",1,"cancer, cells, treatment, evolutionary, game, cell, tumor, stage, therapy, dynamics",4,0.18181818181818182
2012-2016,"Biochemistry, Genetics and Molecular Biology",2,"host, virulence, pathogen, model, vaccine, disease, transmission, infection, evolution, infected",5,0.22727272727272727
2012-2016,"Biochemistry, Genetics and Molecular Biology",3,"species, game, reversal, microbial, memory, communities, molecular, genes, number, theory",4,0.18181818181818182
2012-2016,"Biochemistry, Genetics and Molecular Biology",4,"species, migration, population, prey, evolutionary, thermal, ifd, patch, game, predators",2,0.09090909090909091
2012-2016,"Biochemistry, Genetics and Molecular Biology",6,"game, evolutionary, theory, selection, sex, strategies, fitness, evolution, mml, models",7,0.3181818181818182
2012-2016,"Business, Management and Accounting",0,"supply, manufacturer, channel, retailer, model, chain, game, product, price, advertising",55,0.6707317073170732
2012-2016,"Business, Management and Accounting",1,"green, carbon, supply, chain, government, game, low, subsidy, environmental, emission",6,0.07317073170731707
2012-2016,"Business, Management and Accounting",2,"ppp, public, private, projects, project, government, game, design, evolutionary, supervision",8,0.0975609756097561
2012-2016,"Business, Management and Accounting",3,"innovation, knowledge, game, firms, alliances, alliance, strategic, cooperation, model, research",7,0.08536585365853659
2012-2016,"Business, Management and Accounting",4,"customers, server, queue, queueing, equilibrium, service, mml, servers, joining, patients",5,0.06097560975609756
2012-2016,"Business, Management and Accounting",5,"logistics, medical, game, allocation, emergency, government, evolutionary, service, transportation, disaster",1,0.012195121951219513
2012-2016,Computer Science,0,"game, users, network, proposed, networks, based, algorithm, power, equilibrium, problem",157,0.6652542372881356
2012-2016,Computer Science,1,"games, game, learning, agent, mml, agents, equilibrium, theory, players, player",40,0.1694915254237288
2012-2016,Computer Science,2,"security, game, defense, model, attack, attacks, based, information, strategy, privacy",32,0.13559322033898305
2012-2016,Computer Science,4,"optimization, particle, swarm, method, objective, design, search, path, game, proposed",3,0.012711864406779662
2012-2016,Computer Science,5,"lt, fuzzy, gt, linguistic, preference, game, word, logic, product, argumentation",2,0.00847457627118644
2012-2016,Computer Science,7,"tracking, features, expert, object, feature, landmarks, association, segmentation, landmark, tracker",2,0.00847457627118644
2012-2016,Decision Sciences,0,"games, game, equilibrium, players, equilibria, player, nash, stochastic, information, repeated",51,0.4322033898305085
2012-2016,Decision Sciences,1,"network, game, networks, users, spectrum, allocation, equilibrium, resource, service, nash",34,0.288135593220339
2012-2016,Decision Sciences,2,"price, auctions, market, auction, advertising, model, product, pricing, prices, seller",8,0.06779661016949153
2012-2016,Decision Sciences,3,"game, theory, theoretic, models, cooperative, economic, games, strategy, business, strategic",9,0.07627118644067797
2012-2016,Decision Sciences,4,"fuzzy, decision, dea, cooperative, value, game, linguistic, making, shapley, proposed",10,0.0847457627118644
2012-2016,Decision Sciences,5,"carbon, evolutionary, enterprises, government, game, energy, electricity, market, power, reduction",2,0.01694915254237288
2012-2016,Decision Sciences,6,"innovation, technology, collaborative, diffusion, evolutionary, adoption, government, competitive, game, firms",2,0.01694915254237288
2012-2016,Decision Sciences,7,"construction, projects, contractors, project, model, evolutionary, developers, development, epc, government",2,0.01694915254237288
2012-2016,"Economics, Econometrics and Finance",0,"market, game, firms, theory, equilibrium, model, price, markets, firm, information",43,0.36752136752136755
2012-2016,"Economics, Econometrics and Finance",1,"stochastic, games, equilibrium, time, mml, game, equilibria, mean, nash, optimal",32,0.27350427350427353
2012-2016,"Economics, Econometrics and Finance",2,"carbon, government, enterprises, environmental, pollution, game, innovation, evolutionary, emission, local",9,0.07692307692307693
2012-2016,"Economics, Econometrics and Finance",3,"games, cooperative, mml, core, value, fuzzy, coalition, game, shapley, players",11,0.09401709401709402
2012-2016,"Economics, Econometrics and Finance",4,"sanctions, trade, policy, political, international, economic, countries, model, target, game",7,0.05982905982905983
2012-2016,"Economics, Econometrics and Finance",5,"coalition, coalitions, power, court, voting, legislative, chambers, political, model, informational",4,0.03418803418803419
2012-2016,"Economics, Econometrics and Finance",6,"football, sports, team, game, leagues, players, league, clubs, play, soccer",8,0.06837606837606838
2012-2016,"Economics, Econometrics and Finance",7,"options, strategic, real, value, framework, high, capacity, theory, infrastructure, design",3,0.02564102564102564
2012-2016,Energy,0,"gas, model, eu, policy, russia, pg, european, natural, models, decision",2,0.5
2012-2016,Energy,1,"energy, carbon, supply, low, fuel, chain, game, pricing, efficiency, consumers",2,0.5
2012-2016,Engineering,0,"game, power, networks, network, allocation, interference, proposed, problem, based, algorithm",116,0.4978540772532189
2012-2016,Engineering,1,"energy, power, game, market, electricity, proposed, demand, based, model, charging",50,0.2145922746781116
2012-2016,Engineering,2,"vehicles, vehicle, game, driver, control, traffic, lane, driving, based, model",12,0.05150214592274678
2012-2016,Engineering,3,"game, control, differential, time, games, guidance, pursuit, target, optimal, nash",12,0.05150214592274678
2012-2016,Engineering,4,"attack, security, attacks, attacker, game, defender, defense, cyber, systems, model",17,0.07296137339055794
2012-2016,Engineering,5,"government, construction, water, green, evolutionary, development, game, carbon, building, enterprises",5,0.02145922746781116
2012-2016,Engineering,6,"port, shipping, manufacturing, game, container, production, ports, model, scheduling, decision",12,0.05150214592274678
2012-2016,Engineering,7,"emergency, evacuation, pedestrians, game, government, model, evolutionary, crowd, exit, pedestrian",8,0.034334763948497854
2012-2016,Engineering,8,"soil, nuclear, model, stratification, geotechnical, corrosion, shap, pitting, diagnosis, models",1,0.004291845493562232
2012-2016,Environmental Science,0,"height, water, leaf, plant, hydraulic, trees, growth, al, plants, tree",6,0.375
2012-2016,Environmental Science,1,"government, game, evolutionary, energy, carbon, model, enterprises, strategies, development, study",1,0.0625
2012-2016,Environmental Science,2,"fisheries, management, stocks, stock, fishing, fish, fishery, sex, economic, msy",4,0.25
2012-2016,Environmental Science,3,"prey, size, retrieval, spatial, males, patch, beds, seabirds, pairing, females",2,0.125
2012-2016,Environmental Science,4,"conservation, forest, harvesting, organizations, institutional, game, environmental, social, common, theory",2,0.125
2012-2016,Environmental Science,5,"climate, geoengineering, intervention, adaptation, change, counter, solar, outcome, international, countries",1,0.0625
2012-2016,Health Professions,0,"medical, patient, game, service, care, elderly, dynamic, hospital, patients, malpractice",3,1
2012-2016,Mathematics,0,"cells, cancer, cell, growth, tumor, tumour, evolutionary, therapies, game, models",5,0.35714285714285715
2012-2016,Mathematics,1,"game, vaccination, model, epidemic, strategy, public, disease, individuals, control, games",9,0.6428571428571429
2012-2016,Medicine,1,"game, games, equilibrium, distributed, nash, seeking, stability, based, information, time",3,0.3
2012-2016,Medicine,2,"game, model, medical, theory, evolutionary, vaccination, treatment, strategies, epidemic, disease",7,0.7
2012-2016,Neuroscience,0,"learning, choice, reinforcement, capacity, human, risk, underlying, humans, optimal, environment",2,0.25
2012-2016,Neuroscience,1,"game, social, subjects, opponent, strategy, activity, sensitivity, competitive, asp, hierarchy",5,0.625
2012-2016,Neuroscience,2,"muscle, conflict, interactions, neurons, fighting, mating, size, cuttlefish, thresholds, principle",1,0.125
2012-2016,Physics and Astronomy,0,"quantum, game, games, classical, theory, player, entanglement, players, nash, strategies",9,0.3103448275862069
2012-2016,Physics and Astronomy,1,"energy, renewable, cellular, design, power, groups, discipline, prosumers, optimization, multiple",1,0.034482758620689655
2012-2016,Physics and Astronomy,2,"spectrum, data, evolutionary, users, iot, service, 5g, crns, game, access",1,0.034482758620689655
2012-2016,Physics and Astronomy,3,"defense, network, security, game, attack, strategy, scheffran, attacker, learning, model",3,0.10344827586206896
2012-2016,Physics and Astronomy,4,"public, opinion, evolutionary, internet, government, model, information, leaders, game, media",2,0.06896551724137931
2012-2016,Physics and Astronomy,5,"seti, search, extraterrestrial, mutual, frequencies, frequency, planck, messaging, meti, intelligence",1,0.034482758620689655
2012-2016,Physics and Astronomy,6,"social, dynamics, opinion, agents, xlink, xmlns, w3, http, org, www",6,0.20689655172413793
2012-2016,Physics and Astronomy,7,"world, navigable, small, homophilic, meta, network, networks, agents, communities, real",1,0.034482758620689655
2012-2016,Physics and Astronomy,8,"community, detection, networks, nodes, problem, communities, clustering, approach, based, real",5,0.1724137931034483
2012-2016,Psychology,0,"choice, mate, care, mating, male, theory, evolutionary, studies, human, males",2,0.25
2012-2016,Psychology,1,"game, aggression, cooperative, video, play, bpd, games, bd, social, clinical",4,0.5
2012-2016,Psychology,3,"game, learning, learners, poker, playfulness, water, design, classroom, stripped, computer",1,0.125
2012-2016,Psychology,4,"joint, action, interaction, negotiation, model, fusion, partner, coordination, game, human",1,0.125
2012-2016,Social Sciences,0,"game, cooperation, games, evolutionary, strategies, theory, social, strategy, dynamics, evolution",176,0.7521367521367521
2012-2016,Social Sciences,1,"game, knowledge, evolutionary, government, model, sharing, traffic, strategy, based, quality",15,0.0641025641025641
2012-2016,Social Sciences,2,"war, conflict, power, international, bargaining, terrorism, terrorist, model, political, states",23,0.09829059829059829
2012-2016,Social Sciences,3,"party, policy, political, parties, electoral, voters, model, theoretic, legislative, candidates",10,0.042735042735042736
2012-2016,Social Sciences,4,"vaccination, vaccine, health, game, disease, mhealth, physicians, coverage, information, healthcare",4,0.017094017094017096
2012-2016,Social Sciences,5,"rumor, information, diffusion, privacy, social, game, model, propagation, personal, rumors",1,0.004273504273504274
2012-2016,Social Sciences,6,"households, household, family, women, wives, teachers, preferences, efficiency, husbands, sided",4,0.017094017094017096
2012-2016,Social Sciences,7,"optimal, risk, investment, insurance, reinsurance, asset, problem, company, model, stochastic",1,0.004273504273504274
2013-2017,Agricultural and Biological Sciences,0,"game, model, males, competition, strategies, theory, male, models, lewontin, evolution",17,0.85
2013-2017,Agricultural and Biological Sciences,1,"government, game, food, agricultural, farmers, evolutionary, chain, safety, green, traceability",3,0.15
2013-2017,Arts and Humanities,0,"game, cultural, theory, resource, data, research, peirce, np, big, subjective",1,0.5
2013-2017,Arts and Humanities,1,"mml, epistemic, based, hearer, conflict, beliefs, disagreement, justified, model, belief",1,0.5
2013-2017,"Biochemistry, Genetics and Molecular Biology",1,"cancer, cells, treatment, evolutionary, game, cell, tumor, stage, therapy, dynamics",5,0.25
2013-2017,"Biochemistry, Genetics and Molecular Biology",2,"host, virulence, pathogen, model, vaccine, disease, transmission, infection, evolution, infected",2,0.1
2013-2017,"Biochemistry, Genetics and Molecular Biology",3,"species, game, reversal, microbial, memory, communities, molecular, genes, number, theory",4,0.2
2013-2017,"Biochemistry, Genetics and Molecular Biology",4,"species, migration, population, prey, evolutionary, thermal, ifd, patch, game, predators",1,0.05
2013-2017,"Biochemistry, Genetics and Molecular Biology",5,"bifurcation, matrix, structured, evolutionary, equilibria, theorem, models, reproductive, eco, populations",1,0.05
2013-2017,"Biochemistry, Genetics and Molecular Biology",6,"game, evolutionary, theory, selection, sex, strategies, fitness, evolution, mml, models",7,0.35
2013-2017,"Business, Management and Accounting",0,"supply, manufacturer, channel, retailer, model, chain, game, product, price, advertising",70,0.6862745098039216
2013-2017,"Business, Management and Accounting",1,"green, carbon, supply, chain, government, game, low, subsidy, environmental, emission",7,0.06862745098039216
2013-2017,"Business, Management and Accounting",2,"ppp, public, private, projects, project, government, game, design, evolutionary, supervision",8,0.0784313725490196
2013-2017,"Business, Management and Accounting",3,"innovation, knowledge, game, firms, alliances, alliance, strategic, cooperation, model, research",7,0.06862745098039216
2013-2017,"Business, Management and Accounting",4,"customers, server, queue, queueing, equilibrium, service, mml, servers, joining, patients",6,0.058823529411764705
2013-2017,"Business, Management and Accounting",5,"logistics, medical, game, allocation, emergency, government, evolutionary, service, transportation, disaster",3,0.029411764705882353
2013-2017,"Business, Management and Accounting",6,"cloud, manufacturing, platform, iot, technology, internet, enterprises, innovation, development, company",1,0.00980392156862745
2013-2017,Computer Science,0,"game, users, network, proposed, networks, based, algorithm, power, equilibrium, problem",164,0.656
2013-2017,Computer Science,1,"games, game, learning, agent, mml, agents, equilibrium, theory, players, player",42,0.168
2013-2017,Computer Science,2,"security, game, defense, model, attack, attacks, based, information, strategy, privacy",37,0.148
2013-2017,Computer Science,4,"optimization, particle, swarm, method, objective, design, search, path, game, proposed",3,0.012
2013-2017,Computer Science,5,"lt, fuzzy, gt, linguistic, preference, game, word, logic, product, argumentation",3,0.012
2013-2017,Computer Science,7,"tracking, features, expert, object, feature, landmarks, association, segmentation, landmark, tracker",1,0.004
2013-2017,Decision Sciences,0,"games, game, equilibrium, players, equilibria, player, nash, stochastic, information, repeated",47,0.41228070175438597
2013-2017,Decision Sciences,1,"network, game, networks, users, spectrum, allocation, equilibrium, resource, service, nash",32,0.2807017543859649
2013-2017,Decision Sciences,2,"price, auctions, market, auction, advertising, model, product, pricing, prices, seller",6,0.05263157894736842
2013-2017,Decision Sciences,3,"game, theory, theoretic, models, cooperative, economic, games, strategy, business, strategic",8,0.07017543859649122
2013-2017,Decision Sciences,4,"fuzzy, decision, dea, cooperative, value, game, linguistic, making, shapley, proposed",12,0.10526315789473684
2013-2017,Decision Sciences,5,"carbon, evolutionary, enterprises, government, game, energy, electricity, market, power, reduction",4,0.03508771929824561
2013-2017,Decision Sciences,6,"innovation, technology, collaborative, diffusion, evolutionary, adoption, government, competitive, game, firms",3,0.02631578947368421
2013-2017,Decision Sciences,7,"construction, projects, contractors, project, model, evolutionary, developers, development, epc, government",2,0.017543859649122806
2013-2017,"Economics, Econometrics and Finance",0,"market, game, firms, theory, equilibrium, model, price, markets, firm, information",41,0.36283185840707965
2013-2017,"Economics, Econometrics and Finance",1,"stochastic, games, equilibrium, time, mml, game, equilibria, mean, nash, optimal",28,0.24778761061946902
2013-2017,"Economics, Econometrics and Finance",2,"carbon, government, enterprises, environmental, pollution, game, innovation, evolutionary, emission, local",8,0.07079646017699115
2013-2017,"Economics, Econometrics and Finance",3,"games, cooperative, mml, core, value, fuzzy, coalition, game, shapley, players",14,0.12389380530973451
2013-2017,"Economics, Econometrics and Finance",4,"sanctions, trade, policy, political, international, economic, countries, model, target, game",7,0.061946902654867256
2013-2017,"Economics, Econometrics and Finance",5,"coalition, coalitions, power, court, voting, legislative, chambers, political, model, informational",4,0.035398230088495575
2013-2017,"Economics, Econometrics and Finance",6,"football, sports, team, game, leagues, players, league, clubs, play, soccer",7,0.061946902654867256
2013-2017,"Economics, Econometrics and Finance",7,"options, strategic, real, value, framework, high, capacity, theory, infrastructure, design",4,0.035398230088495575
2013-2017,Energy,0,"gas, model, eu, policy, russia, pg, european, natural, models, decision",2,0.4
2013-2017,Energy,1,"energy, carbon, supply, low, fuel, chain, game, pricing, efficiency, consumers",2,0.4
2013-2017,Energy,2,"carbon, evolutionary, government, game, subsidy, consumers, tax, market, green, manufacturers",1,0.2
2013-2017,Engineering,0,"game, power, networks, network, allocation, interference, proposed, problem, based, algorithm",135,0.4787234042553192
2013-2017,Engineering,1,"energy, power, game, market, electricity, proposed, demand, based, model, charging",67,0.2375886524822695
2013-2017,Engineering,2,"vehicles, vehicle, game, driver, control, traffic, lane, driving, based, model",15,0.05319148936170213
2013-2017,Engineering,3,"game, control, differential, time, games, guidance, pursuit, target, optimal, nash",11,0.03900709219858156
2013-2017,Engineering,4,"attack, security, attacks, attacker, game, defender, defense, cyber, systems, model",21,0.07446808510638298
2013-2017,Engineering,5,"government, construction, water, green, evolutionary, development, game, carbon, building, enterprises",7,0.024822695035460994
2013-2017,Engineering,6,"port, shipping, manufacturing, game, container, production, ports, model, scheduling, decision",16,0.05673758865248227
2013-2017,Engineering,7,"emergency, evacuation, pedestrians, game, government, model, evolutionary, crowd, exit, pedestrian",9,0.031914893617021274
2013-2017,Engineering,8,"soil, nuclear, model, stratification, geotechnical, corrosion, shap, pitting, diagnosis, models",1,0.0035460992907801418
2013-2017,Environmental Science,0,"height, water, leaf, plant, hydraulic, trees, growth, al, plants, tree",4,0.25
