window,field_1,topic,topic_keywords,N,N_rel
1988-1992,Social Sciences,3,"party, policy, political, parties, electoral, voters, model, theoretic, legislative, candidates",3,0.2
1989-1993,Agricultural and Biological Sciences,0,"game, model, males, competition, strategies, theory, male, models, lewontin, evolution",1,1
1989-1993,"Business, Management and Accounting",0,"supply, manufacturer, channel, retailer, model, chain, game, product, price, advertising",3,0.6
1989-1993,"Business, Management and Accounting",3,"innovation, knowledge, game, firms, alliances, alliance, strategic, cooperation, model, research",2,0.4
1989-1993,Decision Sciences,0,"games, game, equilibrium, players, equilibria, player, nash, stochastic, information, repeated",15,0.5555555555555556
1989-1993,Decision Sciences,1,"network, game, networks, users, spectrum, allocation, equilibrium, resource, service, nash",1,0.037037037037037035
1989-1993,Decision Sciences,2,"price, auctions, market, auction, advertising, model, product, pricing, prices, seller",3,0.1111111111111111
1989-1993,Decision Sciences,3,"game, theory, theoretic, models, cooperative, economic, games, strategy, business, strategic",8,0.2962962962962963
1989-1993,"Economics, Econometrics and Finance",0,"market, game, firms, theory, equilibrium, model, price, markets, firm, information",20,0.625
1989-1993,"Economics, Econometrics and Finance",1,"stochastic, games, equilibrium, time, mml, game, equilibria, mean, nash, optimal",5,0.15625
1989-1993,"Economics, Econometrics and Finance",3,"games, cooperative, mml, core, value, fuzzy, coalition, game, shapley, players",2,0.0625
1989-1993,"Economics, Econometrics and Finance",4,"sanctions, trade, policy, political, international, economic, countries, model, target, game",2,0.0625
1989-1993,"Economics, Econometrics and Finance",5,"coalition, coalitions, power, court, voting, legislative, chambers, political, model, informational",2,0.0625
1989-1993,"Economics, Econometrics and Finance",6,"football, sports, team, game, leagues, players, league, clubs, play, soccer",1,0.03125
1989-1993,Engineering,5,"government, construction, water, green, evolutionary, development, game, carbon, building, enterprises",1,1
1989-1993,Mathematics,1,"game, vaccination, model, epidemic, strategy, public, disease, individuals, control, games",1,1
1989-1993,Social Sciences,0,"game, cooperation, games, evolutionary, strategies, theory, social, strategy, dynamics, evolution",10,0.625
1989-1993,Social Sciences,1,"game, knowledge, evolutionary, government, model, sharing, traffic, strategy, based, quality",3,0.1875
1989-1993,Social Sciences,2,"war, conflict, power, international, bargaining, terrorism, terrorist, model, political, states",1,0.0625
1989-1993,Social Sciences,3,"party, policy, political, parties, electoral, voters, model, theoretic, legislative, candidates",2,0.125
1990-1994,Agricultural and Biological Sciences,0,"game, model, males, competition, strategies, theory, male, models, lewontin, evolution",3,1
1990-1994,"Business, Management and Accounting",0,"supply, manufacturer, channel, retailer, model, chain, game, product, price, advertising",3,0.6
1990-1994,"Business, Management and Accounting",3,"innovation, knowledge, game, firms, alliances, alliance, strategic, cooperation, model, research",2,0.4
1990-1994,Computer Science,1,"games, game, learning, agent, mml, agents, equilibrium, theory, players, player",2,1
1990-1994,Decision Sciences,0,"games, game, equilibrium, players, equilibria, player, nash, stochastic, information, repeated",17,0.5862068965517241
1990-1994,Decision Sciences,1,"network, game, networks, users, spectrum, allocation, equilibrium, resource, service, nash",1,0.034482758620689655
1990-1994,Decision Sciences,2,"price, auctions, market, auction, advertising, model, product, pricing, prices, seller",4,0.13793103448275862
1990-1994,Decision Sciences,3,"game, theory, theoretic, models, cooperative, economic, games, strategy, business, strategic",7,0.2413793103448276
1990-1994,"Economics, Econometrics and Finance",0,"market, game, firms, theory, equilibrium, model, price, markets, firm, information",21,0.6176470588235294
1990-1994,"Economics, Econometrics and Finance",1,"stochastic, games, equilibrium, time, mml, game, equilibria, mean, nash, optimal",4,0.11764705882352941
1990-1994,"Economics, Econometrics and Finance",2,"carbon, government, enterprises, environmental, pollution, game, innovation, evolutionary, emission, local",1,0.029411764705882353
1990-1994,"Economics, Econometrics and Finance",3,"games, cooperative, mml, core, value, fuzzy, coalition, game, shapley, players",1,0.029411764705882353
1990-1994,"Economics, Econometrics and Finance",4,"sanctions, trade, policy, political, international, economic, countries, model, target, game",3,0.08823529411764706
1990-1994,"Economics, Econometrics and Finance",5,"coalition, coalitions, power, court, voting, legislative, chambers, political, model, informational",3,0.08823529411764706
1990-1994,"Economics, Econometrics and Finance",6,"football, sports, team, game, leagues, players, league, clubs, play, soccer",1,0.029411764705882353
1990-1994,Engineering,5,"government, construction, water, green, evolutionary, development, game, carbon, building, enterprises",1,1
1990-1994,Environmental Science,3,"prey, size, retrieval, spatial, males, patch, beds, seabirds, pairing, females",1,1
1990-1994,Mathematics,1,"game, vaccination, model, epidemic, strategy, public, disease, individuals, control, games",1,1
1990-1994,Medicine,0,"prey, habitat, predator, food, model, predators, dormitive, foraging, active, game",1,1
1990-1994,Social Sciences,0,"game, cooperation, games, evolutionary, strategies, theory, social, strategy, dynamics, evolution",9,0.5294117647058824
1990-1994,Social Sciences,1,"game, knowledge, evolutionary, government, model, sharing, traffic, strategy, based, quality",3,0.17647058823529413
1990-1994,Social Sciences,2,"war, conflict, power, international, bargaining, terrorism, terrorist, model, political, states",3,0.17647058823529413
1990-1994,Social Sciences,3,"party, policy, political, parties, electoral, voters, model, theoretic, legislative, candidates",2,0.11764705882352941
1991-1995,Agricultural and Biological Sciences,0,"game, model, males, competition, strategies, theory, male, models, lewontin, evolution",6,1
1991-1995,"Business, Management and Accounting",0,"supply, manufacturer, channel, retailer, model, chain, game, product, price, advertising",2,0.4
1991-1995,"Business, Management and Accounting",3,"innovation, knowledge, game, firms, alliances, alliance, strategic, cooperation, model, research",3,0.6
1991-1995,Computer Science,1,"games, game, learning, agent, mml, agents, equilibrium, theory, players, player",2,0.5
1991-1995,Computer Science,4,"optimization, particle, swarm, method, objective, design, search, path, game, proposed",2,0.5
1991-1995,Decision Sciences,0,"games, game, equilibrium, players, equilibria, player, nash, stochastic, information, repeated",20,0.6060606060606061
1991-1995,Decision Sciences,1,"network, game, networks, users, spectrum, allocation, equilibrium, resource, service, nash",1,0.030303030303030304
1991-1995,Decision Sciences,2,"price, auctions, market, auction, advertising, model, product, pricing, prices, seller",6,0.18181818181818182
1991-1995,Decision Sciences,3,"game, theory, theoretic, models, cooperative, economic, games, strategy, business, strategic",6,0.18181818181818182
1991-1995,"Economics, Econometrics and Finance",0,"market, game, firms, theory, equilibrium, model, price, markets, firm, information",21,0.6363636363636364
1991-1995,"Economics, Econometrics and Finance",1,"stochastic, games, equilibrium, time, mml, game, equilibria, mean, nash, optimal",4,0.12121212121212122
1991-1995,"Economics, Econometrics and Finance",3,"games, cooperative, mml, core, value, fuzzy, coalition, game, shapley, players",1,0.030303030303030304
